  no      Latitude      Longitude    Height         Quasi-Geoid Ondulation (m)
   0     45.125312      1.719562    398.157100     49.506992
   1     46.212787      1.895712    357.468300     48.547645
   2     46.742402      1.824359    162.504400     47.317617
   3     46.226090      2.663530    546.312000     49.043321
   4     45.718828      3.016851    889.905000     50.864457
   5     46.791084      3.226739    223.998700     47.763275
   6     46.627216      2.479458    191.508700     47.822217
   7     46.911398      2.059494    160.032300     46.946486
   8     46.670488      2.904876    241.562000     47.955154
   9     45.994206      1.972729    565.407000     49.394736
  10     45.897280      3.215237    314.064800     49.575689
  11     45.819795      2.162279    572.914700     50.129066
  12     46.367026      2.477522    345.610000     48.426837
  13     46.779044      2.295742    174.260300     47.547065
  14     46.587253      3.497146    253.748600     47.986255
  15     46.478502      1.748111    357.251100     47.806249
  16     45.772114      1.841165    638.632900     49.693090
  17     45.964542      3.483083    291.069800     49.533518
  18     46.506918      2.235444    373.137100     48.047053
  19     46.868088      3.862281    408.836600     47.843217
  20     46.327725      3.027907    432.718600     48.790835
  21     45.272008      1.636016    387.708400     49.402139
  22     45.847808      2.895222    812.984300     50.478604
  23     46.057619      3.012477    629.752300     49.526511
  24     46.815386      2.652935    181.325000     47.635106
  25     46.693095      4.142879    271.117900     48.194106
  26     46.285616      2.214548    660.513000     48.525103
  27     46.453096      2.770430    284.909500     48.357995
  28     46.417889      4.034590    243.137000     48.500968
  29     45.285822      2.658454    844.890800     51.668839
  30     45.299616      3.382797    431.148800     51.738494
  31     45.652258      2.735152    1025.862600     51.187373
  32     45.128271      3.147479    956.286800     52.265550
  33     45.252581      2.081427    583.546900     50.235078
  34     45.113719      2.866435    970.323100     52.201225
  35     45.505473      3.137974    696.001000     51.339809
  36     45.227632      4.138379    752.202300     51.709419
  37     45.634019      2.038970    833.138100     50.281657
  38     45.807993      2.536955    738.319500     50.377439
  39     45.432005      4.331513    538.776000     51.089987
  40     46.644087      3.839470    460.879000     48.157172
  41     46.548394      3.136198    259.884000     48.222534
  42     46.164746      3.609369    380.806000     49.061233
  43     46.379821      3.400278    272.599000     48.355842
  44     46.404748      3.699983    435.384000     48.475998
  45     45.111943      2.500029    698.406000     51.508513
  46     45.474376      2.160542    623.650000     50.352646
  47     45.649521      2.343370    737.069000     50.578048
  48     46.403611      2.014640    353.523000     48.127872
  49     46.047425      2.391666    579.936000     49.519956
  50     46.602377      2.001597    245.836000     47.763922
  51     45.981974      4.068650    397.385000     49.683972
  52     45.668488      4.353142    645.729000     50.517971
  53     45.747622      3.929190    834.406000     50.795608
  54     45.944737      3.798235    672.145000     50.243709
  55     46.188993      3.941194    332.211000     48.969721
  56     45.355949      3.961049    908.289000     51.864731
  57     46.794258      3.597647    244.212000     47.704879
  58     45.513008      3.527682    940.079000     51.622525
  59     45.335701      3.039806    1141.433000     52.035358
  60     45.539049      3.788437    780.586000     51.677574
  61     46.286526      4.299847    375.106000     49.097433
  62     46.908269      4.207018    282.089000     48.062859
  63     45.620112      1.647969    730.058000     49.491837
  64     45.436359      2.534572    639.689000     51.036329
  65     45.456116      1.881125    634.721000     49.992798
  66     45.090937      2.119494    565.869000     50.246709
  67     45.839767      4.289232    716.049000     50.235720
  68     45.578443      4.066165    481.027000     51.031344
  69     45.326140      3.699679    1062.491000     52.190080
  70     45.717684      3.581284    557.761000     50.765264
  71     45.732724      3.337503    348.057000     50.363072
  72     46.026288      2.692984    730.510000     49.785248
  73     45.467529      2.832370    1183.791000     51.816438
  74     45.140434      3.815468    826.026000     52.142048
